   0 0 0 0 0
  10 0 0 0 0
  20 0 0 0 0
  30 0 0 0 0
  40 0 0 0 0
  50 0 0 0 0
  60 0 0 0 0
  70 0 0 0 0
  80 0 0 0 0
  90 0 0 0 0
 100 1 1 1 1
 110 0 0 0 0
 120 1 1 1 1
 130 4 4 4 4
 140 10 10 10 10
 150 17 17 17 17
 160 24 24 24 24
 170 44 44 44 44
 180 55 55 55 55
 190 89 89 89 89
 200 137 137 137 137
 210 157 157 157 157
 220 241 241 241 241
 230 371 370 371 370
 240 524 525 524 525
 250 690 690 690 690
 260 908 908 908 908
 270 1150 1150 1150 1150
 280 1493 1493 1493 1493
 290 1819 1819 1819 1819
 300 2181 2181 2181 2181
 310 2790 2790 2790 2790
 320 3155 3155 3155 3155
 330 3648 3647 3647 3648
 340 4058 4059 4059 4058
 350 4579 4579 4579 4579
 360 4880 4880 4880 4880
 370 5312 5312 5312 5312
 380 5763 5763 5763 5763
 390 5600 5598 5600 5598
 400 5567 5569 5567 5569
 410 5526 5526 5526 5526
 420 5315 5315 5315 5315
 430 5083 5083 5083 5083
 440 4556 4556 4556 4556
 450 4363 4363 4363 4363
 460 3732 3732 3732 3732
 470 3284 3284 3284 3284
 480 2813 2813 2813 2813
 490 2317 2317 2317 2317
 500 1896 1896 1896 1896
 510 1465 1465 1465 1465
 520 1163 1163 1163 1163
 530 919 919 919 919
 540 620 620 620 620
 550 510 510 510 510
 560 392 392 392 392
 570 247 247 247 247
 580 183 183 183 183
 590 120 120 120 120
 600 102 102 102 102
 610 47 47 47 47
 620 33 33 33 33
 630 19 19 19 19
 640 7 7 7 7
 650 12 12 12 12
 660 3 3 3 3
 670 1 1 1 1
 680 3 3 3 3
 690 0 0 0 0
 700 0 0 0 0
 710 0 0 0 0
 720 1 1 1 1
 730 0 0 0 0
 740 0 0 0 0
 750 0 0 0 0
 760 0 0 0 0
 770 0 0 0 0
 780 0 0 0 0
 790 0 0 0 0
 800 0 0 0 0
 810 0 0 0 0
 820 0 0 0 0
 830 0 0 0 0
 840 0 0 0 0
 850 0 0 0 0
 860 0 0 0 0
 870 0 0 0 0
 880 0 0 0 0
 890 0 0 0 0
 900 0 0 0 0
 910 0 0 0 0
 920 0 0 0 0
 930 0 0 0 0
 940 0 0 0 0
 950 0 0 0 0
 960 0 0 0 0
 970 0 0 0 0
 980 0 0 0 0
 990 0 0 0 0
