Number of stundents: 100
StudentID PointGrade
3944	30
3954	36
3962	69
3972	98
3978	97
3983	50
3990	33
3997	44
4006	87
4009	61
4015	94
4024	86
4028	91
4034	36
4043	44
4053	56
4061	97
4065	99
4070	73
4078	31
4082	41
4089	49
4098	39
4106	45
4116	59
4121	79
4130	32
4140	58
4145	74
4151	84
4157	83
4163	98
4168	40
4172	80
4180	80
4188	74
4191	56
4197	49
4204	94
4213	70
4216	62
4223	56
4229	83
4238	79
4243	92
4250	32
4260	82
4269	96
4273	84
4278	89
4284	63
4293	55
4302	78
4312	81
4320	46
4328	100
4332	91
4335	63
4341	53
4351	79
4361	85
4370	39
4379	90
4386	34
4389	34
4392	55
4399	77
4402	83
4407	52
4414	47
4424	98
4427	44
4434	55
4444	74
4450	38
4456	63
4461	53
4465	59
4471	39
4478	34
4485	52
4494	90
4499	48
4505	85
4511	50
4518	37
4526	58
4536	46
4540	46
4548	36
4558	95
4563	54
4567	52
4575	32
4582	34
4585	93
4588	61
4595	97
4601	84
4610	93
